loan_percent_income,cb_person_cred_hist_length,person_emp_length,person_age,person_income,loan_int_rate,person_home_ownership_RENT,PD_calibrée,Yi,montant_demande,loan_intent,taux_rendement,Yi_optimal,credit_alloue,montant_alloue,revenus_attendus
0.16,10.00000000000001,3.999999999999998,27.0,50000.00000000019,15.99000000000001,0,0.05326718224586682,1,74395,HOMEIMPROVEMENT,0.1799000000000001,1,1,74395,13383.660500000007
0.03999999999999999,5.0,7.999999999999997,27.0,144000.0,19.12999999999999,1,0.1206117020550441,1,44764,DEBTCONSOLIDATION,0.20629999999999987,1,1,44764,9234.813199999995
0.15,17.0,5.999999999999998,37.99999999999998,95000.00000000035,17.74,0,0.1012577679562176,1,83946,EDUCATION,0.18739999999999998,1,1,83946,15731.480399999999
0.08000000000000002,7.000000000000002,10.99999999999999,27.0,74999.99999999977,13.47000000000001,0,0.01600510876487517,1,169092,EDUCATION,0.1447000000000001,1,1,169092,24467.612400000016
0.24,14.0,3.000000000000002,38.99999999999998,54999.99999999984,13.97999999999999,0,0.03560010501967296,1,41458,EDUCATION,0.1497999999999999,1,1,41458,6210.408399999996
0.19,7.999999999999997,8.999999999999993,29.99999999999999,74999.99999999977,13.78999999999999,0,0.03276101256349774,1,41459,VENTURE,0.1678999999999999,1,1,41459,6960.966099999996
0.1700000000000001,5.0,3.000000000000002,28.0,50000.00000000019,14.83,0,0.05869332839664716,1,176866,HOMEIMPROVEMENT,0.16829999999999998,1,1,176866,29766.547799999997
0.15,7.999999999999997,7.999999999999997,29.99999999999999,102000.0000000002,15.62,0,0.07600499279311017,1,92385,EDUCATION,0.16620000000000001,1,1,92385,15354.387
0.09,2.000000000000001,3.999999999999998,26.0,63179.99999999976,13.42999999999999,0,0.02841158380962406,1,34344,PERSONAL,0.13929999999999992,1,1,34344,4784.119199999997
0.1,3.999999999999998,5.999999999999998,24.00000000000001,100400.0000000004,16.4,0,0.0923398095579621,1,77174,VENTURE,0.19399999999999998,1,1,77174,14971.755999999998
0.03999999999999999,12.00000000000001,3.999999999999998,35.99999999999998,214200.0000000004,15.62,0,0.07867779894354547,1,34511,PERSONAL,0.1612,1,1,34511,5563.1732
0.14,7.000000000000002,14.0,34.00000000000001,108999.9999999996,13.61,0,0.03469136157745979,1,34447,HOMEIMPROVEMENT,0.1561,1,1,34447,5377.1767
0.1,8.999999999999993,3.999999999999998,34.00000000000001,24000.00000000003,13.97999999999999,0,0.04623624002277182,1,60678,HOMEIMPROVEMENT,0.1597999999999999,1,1,60678,9696.344399999993
0.14,5.0,10.99999999999999,28.99999999999999,104999.9999999996,14.41999999999999,0,0.05912093319403089,1,10820,HOMEIMPROVEMENT,0.16419999999999987,1,1,10820,1776.6439999999986
0.11,5.0,5.0,31.99999999999999,112999.9999999997,16.29,1,0.09703036810220397,1,12579,VENTURE,0.1929,1,1,12579,2426.4891
0.24,3.999999999999998,8.999999999999993,24.00000000000001,40999.99999999999,15.33000000000001,0,0.08068144020560705,1,31886,MEDICAL,0.1583000000000001,1,1,31886,5047.553800000003
0.06,3.999999999999998,7.000000000000002,24.00000000000001,96000.0000000003,13.92,0,0.05059881020390318,1,22237,MEDICAL,0.1442,1,1,22237,3206.5753999999997
0.13,7.999999999999997,12.99999999999999,29.99999999999999,75688.99999999981,13.48,0,0.04013894078566579,1,64291,VENTURE,0.1648,1,1,64291,10595.1568
0.02,2.000000000000001,3.999999999999998,26.0,61199.99999999969,12.83999999999999,0,0.02565804241338274,1,24181,EDUCATION,0.1383999999999999,1,1,24181,3346.6503999999977
0.28,5.999999999999998,3.999999999999998,31.99999999999999,54999.99999999984,16.35,0,0.1035696508005306,1,16154,PERSONAL,0.1685,1,1,16154,2721.949
0.1700000000000001,5.999999999999998,10.00000000000001,29.99999999999999,90000.0000000005,14.96000000000001,1,0.07828065488119387,1,161505,HOMEIMPROVEMENT,0.16960000000000008,1,1,161505,27391.248000000014
